protein1	protein2	confidence
KLC1	EZH2	0.276
KLC1	KIF2A	0.982
KLC1	KIF5A	0.996
KLC1	KIF5C	0.912
KLC1	LDLRAP1	0.332
KLC1	LRSAM1	0.237
KLC1	MAPK8IP1	0.748
KLC1	MAPK8IP2	0.721
KLC1	MAPK8IP3	0.977
KLC1	MINDY2	0.36
KLC1	ODF1	0.392
KLC1	OFD1	0.15
KLC1	ORC3	0.159
KLC1	PIAS1	0.17
KLC1	PLEKHM2	0.378
KLC1	POLR2C	0.232
KLC1	PPP4R3B	0.423
KLC1	PTPN23	0.363
KLC1	RAP1B	0.261
KLC1	RBFOX2	0.201
KLC1	RIC3	0.355
KLC1	SPAG9	0.994
KLC1	SYNE4	0.297
KLC1	TLE3	0.351
KLC1	TRAK2	0.28
KLC1	YWHAE	0.438
KLC1	ZNF503	0.155
KLC2	ACBD5	0.163
KLC2	ACOT13	0.503
KLC2	AP3D1	0.28
KLC2	ARHGEF2	0.417
KLC2	AZIN1	0.182
KLC2	BBS5	0.273
KLC2	BICDL2	0.152
KLC2	CCDC174	0.385
KLC2	CCNH	0.189
KLC2	CLSTN1	0.532
KLC2	EZH2	0.276
KLC2	FYCO1	0.36
KLC2	GEM	0.168
KLC2	IGFALS	0.287
KLC2	IMP3	0.268
KLC2	KIF2A	0.94
KLC2	KIF5A	0.998
KLC2	KIF5C	0.911
KLC2	KLC1	0.978
KLC2	KLC3	0.977
KLC2	KLC4	0.933
KLC2	LSM3	0.778
KLC2	LSM4	0.778
KLC2	MAPK8IP3	0.906
KLC2	MRPS2	0.199
KLC2	MYH1	0.18
KLC2	NAA38	0.774
KLC2	NAALADL2	0.197
KLC2	NDC80	0.187
KLC2	NFKB2	0.676
KLC2	NGDN	0.206
KLC2	NUP43	0.166
KLC2	ORC4	0.178
KLC2	PATL1	0.505
KLC2	PPIL2	0.274
KLC2	PPP4R3B	0.387
KLC2	PTPN23	0.363
KLC2	PYGO2	0.503
KLC2	QARS	0.17
KLC2	RNF40	0.198
KLC2	SEPT2	0.518
KLC2	SF1	0.237
KLC2	SLAIN2	0.506
KLC2	SMC6	0.163
KLC2	SNAP47	0.242
KLC2	SOD1	0.282
KLC2	SPART	0.36
KLC2	SYNE4	0.262
KLC2	TRAK2	0.28
KLC2	TUBGCP3	0.213
KLC2	YWHAE	0.44
KLC2	ZNF417	0.175
KLC2	ZNF572	0.174
KLC2	ZPR1	0.518
KLC3	ACBD5	0.158
KLC3	BBS5	0.291
KLC3	BICDL2	0.163
KLC3	C2orf69	0.18
KLC3	CCDC174	0.18
KLC3	CCNH	0.161
KLC3	CROCC	0.509
KLC3	DAPK2	0.19
KLC3	GEM	0.184
KLC3	IMP3	0.269
KLC3	KIF5A	0.98
KLC3	KIF5C	0.7
KLC3	KLC1	0.915
KLC3	KLC4	0.916
KLC3	LST1	0.154
KLC3	MYH1	0.192
KLC3	NFKBIL1	0.154
KLC3	NGDN	0.231
KLC3	ORC4	0.209
KLC3	PCMT1	0.521
KLC3	PPIL2	0.284
KLC3	RBBP6	0.155
KLC3	RNF40	0.246
KLC3	SF1	0.245
KLC3	SNAP47	0.191
KLC3	SYMPK	0.154
KLC3	SYNE4	0.296
KLC3	TGS1	0.16
KLC3	TRIM26	0.16
KLC3	YWHAE	0.432
KLC3	ZNF417	0.175
KLC3	ZNF572	0.175
KLC4	AZIN1	0.18
KLC4	CARMIL1	0.503
KLC4	CDK9	0.245
KLC4	CDR2	0.359
KLC4	CLIP2	0.191
KLC4	DIAPH1	0.26
KLC4	EPB41L2	0.156
KLC4	EZH2	0.276
KLC4	KATNAL1	0.15
KLC4	KIF14	0.502
KLC4	KIF5A	0.994
KLC4	KIF5C	0.847
KLC4	KLC1	0.976
KLC4	MCM3AP	0.192
KLC4	MEF2A	0.204
KLC4	NLN	0.151
KLC4	NUCB1	0.515
KLC4	NUP43	0.154
KLC4	PUF60	0.152
KLC4	RUFY1	0.265
KLC4	SLC16A9	0.293
KLC4	SYNE4	0.22
KLC4	TADA2A	0.229
KLC4	TRAK2	0.239
KLC4	YWHAE	0.432
KLF1	ARID1A	0.423
KLF1	FLI1	0.4
KLF1	UBC	0.429
KLF10	CCNE1	0.315
KLF10	CHAF1A	0.334
KLF10	FOXP3	0.497
KLF10	ITCH	0.452
KLF10	TYK2	0.719
KLF11	CBX1	0.324
KLF11	CBX3	0.362
KLF11	CBX5	0.354
KLF11	MAPK1	0.512
KLF11	SIN3A	0.738
KLF12	EHMT2	0.449
KLF15	PRKAB2	0.394
KLF16	BPGM	0.597
KLF16	CTDSPL2	0.185
KLF16	CTR9	0.228
KLF16	FOXA3	0.193
KLF16	HNRNPD	0.16
KLF16	HUWE1	0.172
KLF16	NASP	0.154
KLF16	POLQ	0.167
KLF16	SIN3B	0.588
KLF16	WASF2	0.503
KLF2	GATA5	0.476
KLF2	GATA6	0.604
KLF3	EHMT2	0.454
KLF3	LHX8	0.211
KLF4	CTBP1	0.452
KLF4	ELK1	0.369
KLF4	FBXO22	0.638
KLF4	HDAC5	0.522
KLF4	HDAC7	0.514
KLF4	KAT5	0.734
KLF4	KDM6A	0.535
KLF4	KDM6B	0.536
KLF4	KLF6	0.453
KLF4	SETD7	0.523
KLF4	SPI1	0.717
KLF4	YAP1	0.668
KLF5	ACTR5	0.201
KLF5	ANP32B	0.591
KLF5	CSRP3	0.36
KLF5	GTF2E2	0.297
KLF5	RRBP1	0.503
KLF5	SMAD3	0.442
KLF5	SMURF2	0.423
KLF5	UBC	0.43
KLF5	YAP1	0.395
KLF6	CXCL2	0.433
KLF6	CXCL8	0.453
KLF6	EHMT2	0.452
KLF6	RUNX1	0.702
KLHDC2	COLEC11	0.229
KLHDC2	EZH2	0.171
KLHDC2	HNRNPD	0.155
KLHDC2	MTFR2	0.616
KLHDC3	ANKFY1	0.417
KLHDC3	BRAP	0.228
KLHDC3	C3orf33	0.173
KLHDC3	DIDO1	0.237
KLHDC3	DPYSL5	0.161
KLHDC3	MOCS1	0.173
KLHDC3	RBSN	0.285
KLHDC3	RPP25L	0.165
KLHDC3	TSPYL4	0.198
KLHL11	UBC	0.911
KLHL12	ARRB2	0.623
KLHL12	CARD10	0.196
KLHL12	CRTC3	0.195
KLHL12	DRD4	0.371
KLHL12	DROSHA	0.219
KLHL12	EZH2	0.18
KLHL12	INMT	0.173
KLHL12	KLHL2	0.567
KLHL12	KLHL3	0.183
KLHL12	MED12	0.152
KLHL12	MPP1	0.151
KLHL12	NEDD8	0.238
KLHL12	OPA1	0.169
KLHL12	RIT1	0.382
KLHL12	TAOK2	0.338
KLHL12	TBC1D10C	0.154
KLHL12	TTBK2	0.185
KLHL12	UBC	0.915
KLHL12	UBXN1	0.181
KLHL12	UBXN7	0.374
KLHL12	VEGFB	0.173
KLHL12	WDYHV1	0.224
KLHL13	KIFC3	0.152
KLHL13	KLHL21	0.935
KLHL13	KLHL22	0.977
KLHL13	KLHL9	0.976
KLHL13	TFG	0.16
KLHL13	UBC	0.913
KLHL13	ZMYM4	0.5
KLHL13	ZMYM6	0.5
KLHL15	C2orf68	0.158
KLHL15	LIMCH1	0.174
KLHL15	PPP2R2B	0.357
KLHL15	SAMD7	0.164
KLHL15	ZNF444	0.16
KLHL15	ZNF511	0.152
KLHL17	ACTC1	0.404
KLHL18	SMAP1	0.375
KLHL2	ACTC1	0.415
KLHL2	BCAM	0.628
KLHL2	CCDC43	0.326
KLHL2	TMA16	0.168
KLHL2	TSPAN5	0.213
KLHL2	TXNDC12	0.536
KLHL2	UBE2C	0.915
KLHL2	WNK2	0.349
KLHL2	WNK3	0.397
KLHL2	WNK4	0.638
KLHL2	ZFP36	0.377
KLHL2	ZNF114	0.216
KLHL20	CDKL5	0.363
KLHL20	CNOT10	0.161
KLHL20	CORO7	0.47
KLHL20	ECT2	0.415
KLHL20	EPAS1	0.36
KLHL20	HELZ	0.179
KLHL20	IPP	0.228
KLHL20	IVNS1ABP	0.43
KLHL20	KLHL26	0.175
KLHL20	KRBA1	0.161
KLHL20	MAP7D2	0.257
KLHL20	NARS	0.152
KLHL20	NRGN	0.161
KLHL20	NUFIP2	0.171
KLHL20	OSBPL11	0.193
KLHL20	PICALM	0.197
KLHL20	PML	0.462
KLHL20	POLDIP3	0.15
KLHL20	PRIM1	0.152
KLHL20	RBM12	0.155
KLHL20	SLC51B	0.182
KLHL20	ZBTB44	0.217
KLHL23	AMDHD1	0.437
KLHL24	FAM219A	0.174
KLHL25	EMID1	0.437
KLHL26	KLHL14	0.163
KLHL26	PCMT1	0.361
KLHL26	TXNDC5	0.182
KLHL29	DNAJB12	0.208
KLHL29	EHMT2	0.202
KLHL29	GLUD1	0.222
KLHL29	KBTBD6	0.195
KLHL29	KLHL21	0.205
KLHL29	KLHL9	0.325
KLHL29	NOP9	0.154
KLHL29	SFXN2	0.233
KLHL29	SSR3	0.195
KLHL29	WIZ	0.71
KLHL29	ZBTB21	0.217
KLHL29	ZNF644	0.713
KLHL3	CFAP206	0.163
KLHL3	CLDN8	0.393
KLHL3	GNAI1	0.331
KLHL3	GNAO1	0.331
KLHL3	OPRD1	0.325
KLHL3	SLC12A3	0.558
KLHL3	SYT2	0.344
KLHL3	WNK2	0.417
KLHL3	WNK3	0.579
KLHL3	WNK4	0.849
KLHL32	TMEM50A	0.182
KLHL32	VPS16	0.774
KLHL35	MX1	0.268
KLHL36	AAR2	0.164
KLHL36	CXorf56	0.334
KLHL36	PACRG	0.444
KLHL36	RNASEH2A	0.156
KLHL38	ZNF341	0.152
KLHL40	C7orf31	0.51
KLHL40	LMOD3	0.848
KLHL40	LRRC29	0.334
KLHL40	PTBP3	0.15
KLHL41	NRAP	0.546
KLHL41	TRIM10	0.207
KLHL41	UTP11	0.601
KLHL42	COPS4	0.17
KLHL42	CUL5	0.91
KLHL42	DDI1	0.188
KLHL42	GAS2L1	0.169
KLHL42	KATNA1	0.333
KLHL42	PAK4	0.172
KLHL42	PCMT1	0.164
KLHL42	SERTAD1	0.385
KLHL42	STXBP4	0.325
KLHL42	UBE2E3	0.934
KLHL6	CKAP5	0.15
KLHL6	FERMT3	0.247
KLHL6	KLHL7	0.326
KLHL6	NR2C2	0.199
KLHL6	NUP153	0.156
KLHL6	PPP1R1B	0.435
KLHL7	CARNMT1	0.22
KLHL7	CKAP5	0.15
KLHL7	FERMT3	0.16
KLHL7	NR2C2	0.155
KLHL7	NUP153	0.156
KLHL7	UBC	0.355
KLHL8	RAPSN	0.425
KLHL9	KLHL21	0.942
KLHL9	KLHL22	0.936
KLK10	OR6C70	0.597
KLK11	FRAS1	0.373
KLK11	KIAA1147	0.172
KLK11	NEU3	0.213
KLK11	VMP1	0.159
KLK13	SERPINA3	0.501
KLK2	ADAMTS1	0.195
KLK2	APLP2	0.642
KLK2	ERG	0.194
KLK2	IGFBP2	0.421
KLK2	SEMG1	0.547
KLK2	SEMG2	0.557
KLK2	SERPINA3	0.659
KLK2	SERPINA4	0.523
KLK2	SERPINA5	0.617
KLK2	SERPINB6	0.514
KLK2	SERPINC1	0.5
KLK2	SERPINE1	0.549
KLK2	SERPINE2	0.485
KLK2	SERPINF2	0.488
KLK3	ALB	0.552
KLK3	CTNNBIP1	0.36
KLK3	EZH2	0.536
KLK3	IGKV3D-7	0.8
KLK3	MIF4GD	0.595
KLK3	PDGFRB	0.493
KLK3	PRG4	0.613
KLK3	PTHLH	0.555
KLK3	PZP	0.421
KLK3	RNF6	0.349
KLK3	SEMG1	0.605
KLK3	SERPINA3	0.904
KLK3	SH2B2	0.342
KLK3	SLPI	0.434
KLK4	HLA-DRA	0.324
KLK4	SERPINA3	0.659
KLK5	COX11	0.18
KLK5	FRAS1	0.375
KLK5	FUK	0.16
KLK5	KIAA1147	0.16
KLK5	MCM8	0.164
KLK5	MKS1	0.152
KLK5	NEU3	0.17
KLK6	COL4A3	0.357
KLK6	FGB	0.444
KLK6	SERPINC1	0.533
KLK6	SERPINF2	0.488
KLK7	CDSN	0.72
KLK7	PSAP	0.318
KLKB1	HGF	0.336
KLKB1	HGFAC	0.482
KLRB1	CLEC2D	0.99
KLRC1	HLA-E	0.999
KLRC1	KLRD1	0.99
KLRC2	HLA-E	0.99
KLRC2	KLRD1	0.95
KLRC3	KLRD1	0.537
KLRC4	MICB	0.573
KLRC4	TYROBP	0.679
KLRD1	HLA-E	0.998
KLRF1	REEP6	0.242
KLRG1	LEPROTL1	0.5
KLRK1	MICB	0.971
KLRK1	RAET1E	0.937
KLRK1	TYROBP	0.957
KLRK1	ULBP3	0.97
KMT2A	AFDN	0.607
KMT2A	HIST2H3A	0.959
KMT2A	ING4	0.33
KMT2A	PAX5	0.513
KMT2A	RUNX1	0.669
KMT2A	TAF1	0.95
KMT2B	DPY30	0.976
KMT2B	HIST2H3A	0.961
KMT2B	HNRNPF	0.202
KMT2B	KHSRP	0.202
KMT2B	KMT2A	0.473
KMT2B	PAGR1	0.75
KMT2B	PAXIP1	0.826
KMT2B	PPP1R21	0.152
KMT2B	PYDC1	0.326
KMT2B	QRICH2	0.192
KMT2B	SMAD3	0.188
KMT2B	SMAD9	0.151
KMT2B	WDR82	0.674
KMT2C	AK1	0.451
KMT2C	APPL2	0.257
KMT2C	ASCL2	0.221
KMT2C	ASH2L	0.992
KMT2C	CDC73	0.461
KMT2C	CUL4B	0.342
KMT2C	DPY30	0.982
KMT2C	ERP44	0.422
KMT2C	EZH2	0.924
KMT2C	HIST2H3A	0.954
KMT2C	KDM6A	0.988
KMT2C	NCOA6	0.979
KMT2C	PAGR1	0.978
KMT2C	PAXIP1	0.986
KMT2C	PYDC1	0.326
KMT2C	RING1	0.261
KMT2C	WDR82	0.658
KMT2D	ASH2L	0.99
KMT2D	ATXN1	0.174
KMT2D	DPY30	0.976
KMT2D	E2F2	0.384
KMT2D	E2F3	0.4
KMT2D	E2F5	0.349
KMT2D	E2F6	0.418
KMT2D	EEF1B2	0.417
KMT2D	HERC2	0.233
KMT2D	HIST2H3A	0.954
KMT2D	KDM6A	0.993
KMT2D	MAX	0.545
KMT2D	MEF2D	0.336
KMT2D	MEN1	0.981
KMT2D	NCOA6	0.969
KMT2D	PAGR1	0.976
KMT2D	PAXIP1	0.982
KMT2D	PPP1R21	0.193
KMT2D	PYGO2	0.933
KMT2D	RBM45	0.169
KMT2D	SENP3	0.349
KMT2D	SMAD3	0.184
KMT2D	SMAD9	0.158
KMT2D	WDR5B	0.766
KMT2D	WDR82	0.682
KMT2D	ZFAND2B	0.166
KMT5A	AEBP2	0.5
KMT5A	E2F2	0.382
KMT5A	EZH2	0.43
KMT5A	FZR1	0.408
KMT5A	L3MBTL1	0.631
KMT5C	CBX1	0.599
KMT5C	NEDD4	0.371
KMT5C	RBL1	0.41
KMT5C	RBL2	0.41
KNG1	AGT	0.971
KNG1	ANAPC5	0.156
KNG1	BDKRB1	0.973
KNG1	CAB39L	0.395
KNG1	CD93	0.368
KNG1	CPN1	0.738
KNG1	CTSK	0.425
KNG1	CTSO	0.165
KNG1	CTSS	0.561
KNG1	CTSV	0.757
KNG1	ECE1	0.535
KNG1	F11	0.979
KNG1	FTL	0.369
KNG1	HABP2	0.542
KNG1	KLK1	0.81
KNG1	KLKB1	0.993
KNG1	P3H3	0.17
KNG1	PLAUR	0.535
KNG1	PREP	0.628
KNG1	RXFP4	0.943
KNG1	TCTN1	0.171
KNL1	BUB1B	0.977
KNL1	PMF1-BGLAP	0.977
KNL1	POLH	0.154
KNOP1	PRR11	0.164
KNSTRN	BORCS6	0.155
KNSTRN	CEP170	0.151
KNSTRN	CHMP1B	0.758
KNSTRN	CLU	0.285
KNSTRN	DEUP1	0.172
KNSTRN	HSPA1A	0.285
KNSTRN	MAPRE1	0.495
KNSTRN	MPP6	0.187
KNSTRN	NUPR1	0.359
KNTC1	ACTR5	0.152
KNTC1	NIPSNAP1	0.154
KNTC1	PIAS4	0.329
KNTC1	ZWILCH	0.997
KPNA1	ADNP	0.163
KPNA1	AICDA	0.324
KPNA1	AL139011.2	0.344
KPNA1	ANP32A	0.165
KPNA1	ANP32B	0.205
KPNA1	ANP32E	0.211
KPNA1	APOL6	0.153
KPNA1	BRCA1	0.434
KPNA1	BRD1	0.24
KPNA1	CDKN1B	0.934
KPNA1	CHD8	0.569
KPNA1	CHEK2	0.664
KPNA1	CLK3	0.281
KPNA1	CLK4	0.214
KPNA1	CSNK1A1	0.425
KPNA1	CTNNBL1	0.228
KPNA1	CUL4B	0.352
KPNA1	DCAF6	0.185
KPNA1	DCAF8	0.337
KPNA1	DTD2	0.381
KPNA1	EGFR	0.417
KPNA1	FAM50B	0.324
KPNA1	FANCD2	0.429
KPNA1	FANCD2OS	0.182
KPNA1	FBL	0.466
KPNA1	FOXE1	0.337
KPNA1	GABPA	0.374
KPNA1	GATA6	0.18
KPNA1	GATAD2A	0.216
KPNA1	GRM1	0.325
KPNA1	HIST2H2BE	0.352
KPNA1	IPO5	0.925
KPNA1	KCTD12	0.339
KPNA1	KIF22	0.167
KPNA1	KPNB1	0.988
KPNA1	LEF1	0.621
KPNA1	LIMCH1	0.347
KPNA1	LMNB1	0.228
KPNA1	MEPCE	0.158
KPNA1	MORF4L1	0.443
KPNA1	MORF4L2	0.443
KPNA1	NCBP1	0.69
KPNA1	NCBP2	0.538
KPNA1	NCOR1	0.195
KPNA1	NOP56	0.65
KPNA1	NOP58	0.634
KPNA1	NOSIP	0.369
KPNA1	NPM1	0.379
KPNA1	NUP153	0.871
KPNA1	NUP54	0.601
KPNA1	NUP62	0.648
KPNA1	ORC4	0.154
KPNA1	PAX5	0.36
KPNA1	PHAX	0.226
KPNA1	PHB2	0.614
KPNA1	PLRG1	0.455
KPNA1	PRPF31	0.482
KPNA1	RAG1	0.74
KPNA1	RAN	0.807
KPNA1	RECQL	0.746
KPNA1	RNMT	0.244
KPNA1	RPRD1A	0.295
KPNA1	RPS19	0.428
KPNA1	RSAD2	0.8
KPNA1	RUNX1T1	0.36
KPNA1	SF1	0.188
KPNA1	SKP2	0.414
KPNA1	SLC5A11	0.232
KPNA1	SMARCD2	0.434
KPNA1	SRP19	0.336
KPNA1	STAT1	0.746
KPNA1	SUB1	0.45
KPNA1	SUN2	0.385
KPNA1	SUPT20H	0.164
KPNA1	TGM5	0.36
KPNA1	TPX2	0.471
KPNA1	TRIP12	0.287
KPNA1	TRMT61A	0.359
KPNA1	TTF2	0.214
KPNA1	UBR5	0.372
KPNA1	USP1	0.519
KPNA1	XRN2	0.244
KPNA1	ZBTB24	0.23
KPNA2	ACLY	0.408
KPNA2	ACOT13	0.443
KPNA2	AICDA	0.324
KPNA2	AP2B1	0.154
KPNA2	APOBEC1	0.36
KPNA2	ARL4A	0.739
KPNA2	ARL5A	0.345
KPNA2	ASS1	0.453
KPNA2	BRCA1	0.502
KPNA2	BRD1	0.24
KPNA2	CA9	0.249
KPNA2	CASP2	0.391
KPNA2	CDA	0.366
KPNA2	CDK11A	0.176
KPNA2	CDK9	0.244
KPNA2	CDKN1B	0.358
KPNA2	CDS1	0.356
KPNA2	CDT1	0.574
KPNA2	CHEK2	0.736
KPNA2	CLK3	0.175
KPNA2	COPS4	0.193
KPNA2	CSNK1A1	0.405
KPNA2	CTNNBL1	0.228
KPNA2	CUL4B	0.364
KPNA2	DNAJA4	0.436
KPNA2	EPB41	0.611
KPNA2	FUS	0.164
KPNA2	GART	0.19
KPNA2	GTF2F1	0.617
KPNA2	GTF2IRD1	0.36
KPNA2	H1F0	0.397
KPNA2	HMG20A	0.18
KPNA2	HNRNPH1	0.78
KPNA2	HUWE1	0.217
KPNA2	IDH3G	0.459
KPNA2	IMMT	0.282
KPNA2	ING1	0.386
KPNA2	ITCH	0.226
KPNA2	JPT1	0.669
KPNA2	KIFAP3	0.194
KPNA2	KPNA1	0.915
KPNA2	KPNA3	0.851
KPNA2	KPNA4	0.585
KPNA2	KPNA6	0.58
KPNA2	KPNB1	0.997
KPNA2	LEF1	0.629
KPNA2	MEPCE	0.187
KPNA2	MLH1	0.172
KPNA2	MMS19	0.155
KPNA2	MORF4L2	0.173
KPNA2	MRGBP	0.264
KPNA2	NCBP1	0.94
KPNA2	NCBP2	0.936
KPNA2	NF2	0.2
KPNA2	NMNAT1	0.152
KPNA2	NPM1	0.448
KPNA2	NUP153	0.989
KPNA2	NUP62	0.954
KPNA2	PAX5	0.36
KPNA2	PHB2	0.356
KPNA2	PLAG1	0.693
KPNA2	PLRG1	0.445
KPNA2	POU5F1	0.597
KPNA2	PRKD3	0.36
KPNA2	PRMT1	0.261
KPNA2	PRPF31	0.492
KPNA2	PTMA	0.541
KPNA2	RAG1	0.729
KPNA2	RAN	0.978
KPNA2	RECQL	0.793
KPNA2	RNMT	0.426
KPNA2	SAP25	0.192
KPNA2	SART3	0.369
KPNA2	SF1	0.191
KPNA2	SGK1	0.375
KPNA2	SLC2A2	0.383
KPNA2	SMARCD1	0.193
KPNA2	SRPK1	0.291
KPNA2	SUN2	0.385
KPNA2	TAF3	0.37
KPNA2	TAF8	0.386
KPNA2	TARDBP	0.168
KPNA2	TBPL2	0.447
KPNA2	TXNIP	0.489
KPNA2	UBL4A	0.248
KPNA2	UBR5	0.379
KPNA2	WARS	0.431
KPNA2	ZBTB7B	0.243
KPNA2	ZNF131	0.466
KPNA3	APOL6	0.154
KPNA3	COIL	0.171
KPNA3	COPB1	0.824
KPNA3	DDX21	0.499
KPNA3	ERMAP	0.156
KPNA3	FAM50B	0.324
KPNA3	GATA6	0.171
KPNA3	GNL1	0.425
KPNA3	GRM1	0.325
KPNA3	IPO8	0.86
KPNA3	IPO9	0.907
KPNA3	KMT2E	0.223
KPNA3	KPNA4	0.775
KPNA3	KPNA6	0.331
KPNA3	KPNB1	0.959
KPNA3	MDM4	0.359
KPNA3	MMS19	0.183
KPNA3	MVP	0.324
KPNA3	MYH7B	0.443
KPNA3	NACC1	0.466
KPNA3	NCBP1	0.708
KPNA3	NCBP2	0.647
KPNA3	NOTCH1	0.221
KPNA3	NUP107	0.54
KPNA3	NUP153	0.858
KPNA3	PLAA	0.198
KPNA3	POLDIP3	0.223
KPNA3	RECQL	0.65
KPNA3	RPRD1A	0.36
KPNA3	SF1	0.183
KPNA3	SLC5A11	0.628
KPNA3	TMCO1	0.423
KPNA3	UBXN7	0.388
KPNA3	ZBTB24	0.243
KPNA3	ZNF131	0.466
KPNA4	ACLY	0.411
KPNA4	ACTN1	0.154
KPNA4	ACTR1B	0.512
KPNA4	AICDA	0.324
KPNA4	AP2B1	0.176
KPNA4	CBX3	0.215
KPNA4	CCT6B	0.798
KPNA4	CCT7	0.792
KPNA4	CDK11A	0.276
KPNA4	CHEK2	0.427
KPNA4	COPB1	0.814
KPNA4	CUL4B	0.356
KPNA4	CYHR1	0.327
KPNA4	DAXX	0.36
KPNA4	GRM1	0.325
KPNA4	HMG20A	0.183
KPNA4	IPO9	0.765
KPNA4	KIFAP3	0.177
KPNA4	KPNB1	0.974
KPNA4	LIN28A	0.217
KPNA4	LMNB1	0.496
KPNA4	MAT2B	0.189
KPNA4	MDM4	0.359
KPNA4	MED26	0.198
KPNA4	MYH7B	0.409
KPNA4	NACC1	0.466
KPNA4	NCBP1	0.639
KPNA4	NCBP2	0.498
KPNA4	NUP107	0.507
KPNA4	NUP153	0.829
KPNA4	PARD3	0.344
KPNA4	PC	0.774
KPNA4	PLAA	0.24
KPNA4	RECQL	0.803
KPNA4	SEC63	0.458
KPNA4	SF1	0.176
KPNA4	SRPK1	0.232
KPNA4	UQCRC2	0.447
KPNA4	ZBTB7B	0.243
KPNA5	ANP32E	0.169
KPNA5	ARID2	0.212
KPNA5	CHD8	0.226
KPNA5	DCAF8	0.368
KPNA5	EGFR	0.36
KPNA5	FANCD2OS	0.335
KPNA5	GRM1	0.325
KPNA5	IL32	0.359
KPNA5	IPO5	0.954
KPNA5	PHAX	0.182
KPNA5	RAN	0.834
KPNA5	RNMT	0.227
KPNA5	SF1	0.176
KPNA5	SPOPL	0.334
KPNA6	ANP32A	0.168
KPNA6	ARRDC2	0.519
KPNA6	CBX3	0.217
KPNA6	CHD8	0.788
KPNA6	CHMP4B	0.197
KPNA6	FBL	0.438
KPNA6	HASPIN	0.17
KPNA6	HMGB1	0.477
KPNA6	IL1A	0.187
KPNA6	IPO5	0.87
KPNA6	IREB2	0.274
KPNA6	KPNB1	0.978
KPNA6	LMNA	0.209
KPNA6	METTL16	0.21
KPNA6	MORF4L1	0.443
KPNA6	MORF4L2	0.443
KPNA6	NCBP2	0.455
KPNA6	NOP2	0.371
KPNA6	NOP58	0.628
KPNA6	NUP153	0.806
KPNA6	PHB2	0.384
KPNA6	PRMT1	0.429
KPNA6	RAN	0.67
KPNA6	RANBP6	0.937
KPNA6	SF1	0.176
KPNA6	SKP2	0.412
KPNA6	SPOP	0.164
KPNA6	STAT1	0.597
KPNA6	SURF2	0.187
KPNA6	TRIP12	0.226
KPNA6	TTC1	0.19
KPNA6	XRN2	0.222
KPNA7	CHD8	0.788
KPNA7	HASPIN	0.17
KPNB1	AL139011.2	0.329
KPNB1	BUB3	0.375
KPNB1	CD99L2	0.359
KPNB1	CDK11A	0.177
KPNB1	CEP192	0.159
KPNB1	CERS2	0.199
KPNB1	CHD8	0.227
KPNB1	CHEK2	0.351
KPNB1	CLK3	0.161
KPNB1	CLTC	0.441
KPNB1	CUL4B	0.318
KPNB1	CWC27	0.376
KPNB1	DCAF8	0.329
KPNB1	DIS3	0.801
KPNB1	DLGAP5	0.167
KPNB1	EED	0.202
KPNB1	EGFR	0.496
KPNB1	EIF4ENIF1	0.385
KPNB1	EXOSC2	0.504
KPNB1	FAM204A	0.162
KPNB1	FAN1	0.192
KPNB1	FGFR1	0.367
KPNB1	GLE1	0.88
KPNB1	H1F0	0.47
KPNB1	HEXIM2	0.153
KPNB1	HIST1H1C	0.357
KPNB1	HUWE1	0.205
KPNB1	IGFBP3	0.36
KPNB1	IGFBP5	0.611
KPNB1	ING1	0.387
KPNB1	IPO4	0.934
KPNB1	IPO5	0.91
KPNB1	IPO7	0.814
KPNB1	IPO8	0.918
KPNB1	IPO9	0.776
KPNB1	ITCH	0.379
KPNB1	KIFC1	0.228
KPNB1	KPNA5	0.98
KPNB1	KPNA7	0.91
KPNB1	MEPCE	0.187
KPNB1	MORF4L1	0.191
KPNB1	MRGBP	0.179
KPNB1	MSL1	0.278
KPNB1	NCBP2	0.691
KPNB1	NDC1	0.978
KPNB1	NEMP1	0.584
KPNB1	NFATC1	0.943
KPNB1	NLK	0.242
KPNB1	NUP133	0.955
KPNB1	NUP153	0.998
KPNB1	NUP155	0.978
KPNB1	NUP160	0.984
KPNB1	NUP188	0.92
KPNB1	NUP205	0.983
KPNB1	NUP214	0.967
KPNB1	NUP35	0.917
KPNB1	NUP37	0.976
KPNB1	NUP54	0.961
KPNB1	NUP62	0.98
KPNB1	NUP85	0.987
KPNB1	NUP88	0.983
KPNB1	NUP93	0.982
KPNB1	NUP98	0.835
KPNB1	NUPL2	0.909
KPNB1	NUSAP1	0.63
KPNB1	NUTF2	0.975
KPNB1	PLEKHA8	0.172
KPNB1	PMS2	0.191
KPNB1	POM121C	0.961
KPNB1	PPP2R2B	0.654
KPNB1	PRKD3	0.36
KPNB1	PTHLH	0.887
KPNB1	RAD21	0.159
KPNB1	RAN	0.999
KPNB1	RANBP1	0.99
KPNB1	RANBP6	0.877
KPNB1	RAPGEF3	0.325
KPNB1	RGPD8	0.905
KPNB1	RUNX1T1	0.36
KPNB1	SEH1L	0.812
KPNB1	SENP1	0.726
KPNB1	SENP3	0.663
KPNB1	SERPINB12	0.188
KPNB1	SMAD3	0.937
KPNB1	SMPD4	0.562
KPNB1	SNUPN	0.987
KPNB1	SOX9	0.552
KPNB1	SPART	0.36
KPNB1	SREBF2	0.977
KPNB1	SRY	0.596
